Username,Comment,Post Link,Label
rachmatsadont,Ada pi baru dibilang ada 😁,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
just_wandri,Minimal tidak alih fungsi jadi Pasar 😌😌,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
resqyjaaa,Lucu sekali kalau begitu Aneh😆,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
omarcello_12,😂😂😂 apakah akan menjadi kisah barombong jilid 2🗿,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
abd.karim.26,Kenapa ga Barombong aja di selesaikan permasalahannya,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
ansar_arifin85,Bangun mi cepat 😁 sebelum berubah pikiran lagi 😂,https://www.instagram.com/p/C5pDGE4MM_x/,positif
omega.rantesalu,Bikin mi dulu pòndasinya 😂,https://www.instagram.com/p/C5pDGE4MM_x/,positif
ruddhy01,tundulu. jgn sampai diratakan trus lupa dibangun ulang. cukup stadion yg jadi korban.,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
nzz_010516,indikasi di korupsi lg 😂😂,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
w_one_official,Semoga gak di korupsi,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
anggaistifaro_,100% di korupsi lagi,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
rafipido03,Carita mako,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
namnammsn,Bongkar lagi baru biarkan begitu saja takkala tenamo stadion di mkassar 🗿😏 ,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
ffdhil__,Ada tompi bru dibilang ada deh,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
ino_ndiherman,standar fifa >> kap.40 rb,https://www.instagram.com/p/C5pDGE4MM_x/,netral
wais10029,Wanjay,https://www.instagram.com/p/C5pDGE4MM_x/,positif
andiarhamuddin,Minimal janji dulu dong 😂,https://www.instagram.com/p/C5pDGE4MM_x/,negatif
